resource_type,owner_id,source,collection,id,external_id,name,name_type,name_external_id,name[fr],name_type[fr],name_locale[fr],name_locale_preferred[fr],name_external_id[fr],concept_class,datatype,map_from_concept_url[set],map_to_concept_url[set],map_type[set],map_from_concept_url[PIH],map_to_concept_url[PIH],map_type[PIH]
Concept,PIH,PIH,,20280,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20219/,/orgs/PIH/sources/PIH/concepts/20280/,CONCEPT-SET,,,
Concept,PIH,PIH,,20275,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20219/,/orgs/PIH/sources/PIH/concepts/20275/,CONCEPT-SET,,,
Concept,PIH,PIH,,20282,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20219/,/orgs/PIH/sources/PIH/concepts/20282/,CONCEPT-SET,,,
Concept,PIH,PIH,,20283,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20219/,/orgs/PIH/sources/PIH/concepts/20283/,CONCEPT-SET,,,
Concept,PIH,PIH,,20284,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20219/,/orgs/PIH/sources/PIH/concepts/20284/,CONCEPT-SET,,,
Concept,PIH,PIH,,20285,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20219/,/orgs/PIH/sources/PIH/concepts/20285/,CONCEPT-SET,,,
Concept,PIH,PIH,,20270,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20219/,/orgs/PIH/sources/PIH/concepts/20270/,CONCEPT-SET,,,
Concept,PIH,PIH,,20286,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20219/,/orgs/PIH/sources/PIH/concepts/20286/,CONCEPT-SET,,,
Concept,PIH,PIH,,20287,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20219/,/orgs/PIH/sources/PIH/concepts/20287/,CONCEPT-SET,,,
Concept,PIH,PIH,,20281,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20219/,/orgs/PIH/sources/PIH/concepts/20281/,CONCEPT-SET,,,
Concept,PIH,PIH,,20272,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20219/,/orgs/PIH/sources/PIH/concepts/20272/,CONCEPT-SET,,,
Concept,PIH,PIH,,11587,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20219/,/orgs/PIH/sources/PIH/concepts/11587/,CONCEPT-SET,,,
Concept,PIH,PIH,,20271,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20219/,/orgs/PIH/sources/PIH/concepts/20271/,CONCEPT-SET,,,
Concept,PIH,PIH,,9517,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20219/,/orgs/PIH/sources/PIH/concepts/9517/,CONCEPT-SET,,,
Concept,PIH,PIH,,20288,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20219/,/orgs/PIH/sources/PIH/concepts/20288/,CONCEPT-SET,,,
Concept,PIH,PIH,,20274,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20219/,/orgs/PIH/sources/PIH/concepts/20274/,CONCEPT-SET,,,
Concept,PIH,PIH,,2719,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20219/,/orgs/PIH/sources/PIH/concepts/2719/,CONCEPT-SET,,,
Concept,PIH,PIH,,20269,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20219/,/orgs/PIH/sources/PIH/concepts/20269/,CONCEPT-SET,,,
