resource_type,owner_id,source,collection,id,external_id,name,name_type,name_external_id,name[fr],name_type[fr],name_locale[fr],name_locale_preferred[fr],name_external_id[fr],concept_class,datatype,map_from_concept_url[set],map_to_concept_url[set],map_type[set],map_from_concept_url[PIH],map_to_concept_url[PIH],map_type[PIH]
Concept,PIH,PIH,,20239,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20218/,/orgs/PIH/sources/PIH/concepts/20239/,CONCEPT-SET,,,
Concept,PIH,PIH,,20236,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20218/,/orgs/PIH/sources/PIH/concepts/20236/,CONCEPT-SET,,,
Concept,PIH,PIH,,20237,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20218/,/orgs/PIH/sources/PIH/concepts/20237/,CONCEPT-SET,,,
Concept,PIH,PIH,,20238,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20218/,/orgs/PIH/sources/PIH/concepts/20238/,CONCEPT-SET,,,
Concept,PIH,PIH,,20246,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20218/,/orgs/PIH/sources/PIH/concepts/20246/,CONCEPT-SET,,,
Concept,PIH,PIH,,20241,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20218/,/orgs/PIH/sources/PIH/concepts/20241/,CONCEPT-SET,,,
Concept,PIH,PIH,,20245,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20218/,/orgs/PIH/sources/PIH/concepts/20245/,CONCEPT-SET,,,
Concept,PIH,PIH,,20250,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20218/,/orgs/PIH/sources/PIH/concepts/20250/,CONCEPT-SET,,,
Concept,PIH,PIH,,20242,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20218/,/orgs/PIH/sources/PIH/concepts/20242/,CONCEPT-SET,,,
Concept,PIH,PIH,,20234,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20218/,/orgs/PIH/sources/PIH/concepts/20234/,CONCEPT-SET,,,
Concept,PIH,PIH,,20235,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20218/,/orgs/PIH/sources/PIH/concepts/20235/,CONCEPT-SET,,,
Concept,PIH,PIH,,20251,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20218/,/orgs/PIH/sources/PIH/concepts/20251/,CONCEPT-SET,,,
Concept,PIH,PIH,,20243,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20218/,/orgs/PIH/sources/PIH/concepts/20243/,CONCEPT-SET,,,
Concept,PIH,PIH,,20244,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20218/,/orgs/PIH/sources/PIH/concepts/20244/,CONCEPT-SET,,,
Concept,PIH,PIH,,20247,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20218/,/orgs/PIH/sources/PIH/concepts/20247/,CONCEPT-SET,,,
Concept,PIH,PIH,,20249,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20218/,/orgs/PIH/sources/PIH/concepts/20249/,CONCEPT-SET,,,
Concept,PIH,PIH,,20248,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20218/,/orgs/PIH/sources/PIH/concepts/20248/,CONCEPT-SET,,,
