"resource_type","owner_id","source","collection","id","external_id","name","name_type","name_external_id","name[fr]","name_type[fr]","name_locale[fr]","name_locale_preferred[fr]","name_external_id[fr]","concept_class","datatype","map_from_concept_url[set]","map_to_concept_url[set]","map_type[set]","map_from_concept_url[PIH]","map_to_concept_url[PIH]","map_type[PIH]","map_from_concept_url[ICD-10]","map_to_concept_url[ICD-10]","map_type[ICD-10]"
"Concept","PIH","PIH",,20420,,Depression caused by cocaine with mild disorder of cocaine use,"FULLY_SPECIFIED",,Dépression due à la cocaïne avec trouble léger de l'usage de la cocaïne,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20420/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20420/","/orgs/PIH/sources/PIH/concepts/20420/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20420/","/orgs/WHO/sources/ICD-10-WHO/concepts/F12.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20421,,Depression caused by cocaine with moderate or severe disorder of cocaine use,"FULLY_SPECIFIED",,Dépression due à la cocaïne avec trouble moyen ou grave de l'usage de la cocaïne,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20421/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20421/","/orgs/PIH/sources/PIH/concepts/20421/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20421/","/orgs/WHO/sources/ICD-10-WHO/concepts/F12.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20422,,Depression caused by cocaine but without current cocaine use,"FULLY_SPECIFIED",,Dépression due à la cocaïne sans trouble de l'usage de la cocaïne,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20422/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20422/","/orgs/PIH/sources/PIH/concepts/20422/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20422/","/orgs/WHO/sources/ICD-10-WHO/concepts/F12.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20423,,Depression caused by hallucinogen with mild disorder of hallucinogen use,"FULLY_SPECIFIED",,Dépression due à un hallucinogène avec trouble léger de l'usage d'hallucinogènes,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20423/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20423/","/orgs/PIH/sources/PIH/concepts/20423/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20423/","/orgs/WHO/sources/ICD-10-WHO/concepts/F14.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20424,,Depression caused by hallucinogen with moderate or severe disorder of hallucinogen use,"FULLY_SPECIFIED",,Dépression due à un hallucinogène avec trouble modéré ou grave de l'usage d'hallucinogènes,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20424/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20424/","/orgs/PIH/sources/PIH/concepts/20424/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20424/","/orgs/WHO/sources/ICD-10-WHO/concepts/F14.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20425,,Depression caused by hallucinogen but without current hallucinogen use,"FULLY_SPECIFIED",,Dépression due à un hallucinogène sans trouble de l'usage d'hallucinogènes,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20425/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20425/","/orgs/PIH/sources/PIH/concepts/20425/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20425/","/orgs/WHO/sources/ICD-10-WHO/concepts/F14.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20426,,Depression caused by opiate with mild disorder of opiate use,"FULLY_SPECIFIED",,Dépression due à un opiace avec trouble léger de l'usage d'un opiace,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20426/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20426/","/orgs/PIH/sources/PIH/concepts/20426/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20426/","/orgs/WHO/sources/ICD-10-WHO/concepts/F16.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20427,,Depression caused by opiate with moderate or severe disorder of opiate use,"FULLY_SPECIFIED",,Dépression due à un opiace avec trouble modéré ou grave de l'usage d'un opiace,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20427/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20427/","/orgs/PIH/sources/PIH/concepts/20427/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20427/","/orgs/WHO/sources/ICD-10-WHO/concepts/F16.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20428,,Depression caused by opiate but without current opiate use,"FULLY_SPECIFIED",,Dépression due à un opiace sans trouble de l'usage d'un opiace,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20428/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20428/","/orgs/PIH/sources/PIH/concepts/20428/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20428/","/orgs/WHO/sources/ICD-10-WHO/concepts/F16.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20429,,Depression caused by phencyclidine with mild disorder of phencyclidine use,"FULLY_SPECIFIED",,Dépression due à la phencyclidine avec trouble léger de l'usage de la phencyclidine,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20429/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20429/","/orgs/PIH/sources/PIH/concepts/20429/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20429/","/orgs/WHO/sources/ICD-10-WHO/concepts/F16.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20430,,Depression caused by phencyclidine with moderate or severe disorder of phencyclidine use,"FULLY_SPECIFIED",,Dépression due à la phencyclidine avec trouble moyen ou grave de l'usage de la phencyclidine,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20430/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20430/","/orgs/PIH/sources/PIH/concepts/20430/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20430/","/orgs/WHO/sources/ICD-10-WHO/concepts/F16.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20431,,Depression caused by phencyclidine but without current phencyclidine use,"FULLY_SPECIFIED",,Dépression due à la phencyclidine sans trouble de l'usage de la phencyclidine,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20431/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20431/","/orgs/PIH/sources/PIH/concepts/20431/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20431/","/orgs/WHO/sources/ICD-10-WHO/concepts/F16.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20432,,Depression caused by antidepressant or antianxiety drugs with mild disorder of antidepressant or antianxiety drug use,"FULLY_SPECIFIED",,Dépression due à la prise d'antidépresseurs ou d'anxiolytiques avec trouble léger de la prise d'antidépresseurs ou d'anxiolytiques,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20432/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20432/","/orgs/PIH/sources/PIH/concepts/20432/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20432/","/orgs/WHO/sources/ICD-10-WHO/concepts/F13.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20433,,Depression caused by antidepressant or antianxiety drugs with moderate or severe disorder of antidepressant or antianxiety drug use,"FULLY_SPECIFIED",,Dépression due à la prise d'antidépresseurs ou d'anxiolytiques avec trouble moyen ou grave de la prise d'antidépresseurs ou d'anxiolytiques,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20433/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20433/","/orgs/PIH/sources/PIH/concepts/20433/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20433/","/orgs/WHO/sources/ICD-10-WHO/concepts/F13.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20434,,Depression caused by antidepressant or antianxiety drugs but without current antidepressant or antianxiety drug use,"FULLY_SPECIFIED",,Dépression due à la prise d'antidépresseurs ou d'anxiolytiques sans trouble de la prise d'antidépresseurs ou d'anxiolytiques,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20434/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20434/","/orgs/PIH/sources/PIH/concepts/20434/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20434/","/orgs/WHO/sources/ICD-10-WHO/concepts/F13.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20435,,Depression caused by other substance with mild disorder of other substance use,"FULLY_SPECIFIED",,Dépression due à une substance autre avec trouble léger de l'usage d'une substance autre,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20435/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20435/","/orgs/PIH/sources/PIH/concepts/20435/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20435/","/orgs/WHO/sources/ICD-10-WHO/concepts/F19.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20436,,Depression caused by other substance with moderate or severe disorder of other substance use,"FULLY_SPECIFIED",,Dépression due à une substance autre avec trouble moyen ou grave de l'usage d'une substance autre,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20436/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20436/","/orgs/PIH/sources/PIH/concepts/20436/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20436/","/orgs/WHO/sources/ICD-10-WHO/concepts/F19.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20437,,Depression caused by other substance but without current other substance use,"FULLY_SPECIFIED",,Dépression due à une substance autre sans trouble de l'usage d'une substance autre,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20437/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20437/","/orgs/PIH/sources/PIH/concepts/20437/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20437/","/orgs/WHO/sources/ICD-10-WHO/concepts/F19.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20438,,Depression caused by inhalant with mild disorder of inhalant use,"FULLY_SPECIFIED",,Dépression due à l'inhalation avec trouble léger de l'usage de l'inhalation,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20438/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20438/","/orgs/PIH/sources/PIH/concepts/20438/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20438/","/orgs/WHO/sources/ICD-10-WHO/concepts/F18.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20439,,Depression caused by inhalant with moderate or severe disorder of inhalant use,"FULLY_SPECIFIED",,Dépression due à l'inhalation avec trouble moyen ou grave de l'usage de l'inhalation,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20439/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20439/","/orgs/PIH/sources/PIH/concepts/20439/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20439/","/orgs/WHO/sources/ICD-10-WHO/concepts/F18.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20440,,Depression caused by inhalant but without current inhalant use,"FULLY_SPECIFIED",,Dépression due à l'inhalation sans trouble de l'usage de l'inhalation,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20440/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20440/","/orgs/PIH/sources/PIH/concepts/20440/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20440/","/orgs/WHO/sources/ICD-10-WHO/concepts/F18.8/","NARROWER-THAN"
