"resource_type","owner_id","source","collection","id","external_id","name","name_type","name_external_id","name[fr]","name_type[fr]","name_locale[fr]","name_locale_preferred[fr]","name_external_id[fr]","concept_class","datatype","map_from_concept_url[set]","map_to_concept_url[set]","map_type[set]","map_from_concept_url[PIH]","map_to_concept_url[PIH]","map_type[PIH]","map_from_concept_url[ICD-10]","map_to_concept_url[ICD-10]","map_type[ICD-10]"
"Concept","PIH","PIH",,20420,,"Mild depression due to cannabis","FULLY_SPECIFIED",,"Dépression légère due au cannabis","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20420/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20420/","/orgs/PIH/sources/PIH/concepts/20420/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20420/","/orgs/WHO/sources/ICD-10-WHO/concepts/F12.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20421,,"Moderate or severe depression due to cannabis","FULLY_SPECIFIED",,"Dépression modérée/sévère due au cannabis","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20421/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20421/","/orgs/PIH/sources/PIH/concepts/20421/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20421/","/orgs/WHO/sources/ICD-10-WHO/concepts/F12.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20422,,"Depression without cannabis","FULLY_SPECIFIED",,"Dépression sans cannabis","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20422/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20422/","/orgs/PIH/sources/PIH/concepts/20422/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20422/","/orgs/WHO/sources/ICD-10-WHO/concepts/F12.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20423,,"Mild depression due to cocaine","FULLY_SPECIFIED",,"Dépression légère due à la cocaïne","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20423/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20423/","/orgs/PIH/sources/PIH/concepts/20423/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20423/","/orgs/WHO/sources/ICD-10-WHO/concepts/F14.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20424,,"Moderate/severe depression due to cocaine","FULLY_SPECIFIED",,"Dépression modérée/sévère due à la cocaïne","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20424/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20424/","/orgs/PIH/sources/PIH/concepts/20424/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20424/","/orgs/WHO/sources/ICD-10-WHO/concepts/F14.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20425,,"Depression without cocaine","FULLY_SPECIFIED",,"Dépression sans cocaïne","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20425/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20425/","/orgs/PIH/sources/PIH/concepts/20425/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20425/","/orgs/WHO/sources/ICD-10-WHO/concepts/F14.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20426,,"Mild depression due to hallucinogen","FULLY_SPECIFIED",,"Dépression légère due à un hallucinogène","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20426/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20426/","/orgs/PIH/sources/PIH/concepts/20426/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20426/","/orgs/WHO/sources/ICD-10-WHO/concepts/F16.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20427,,"Moderate/severe depression due to hallucinogen","FULLY_SPECIFIED",,"Dépression modérée/sévère due à un hallucinogène","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20427/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20427/","/orgs/PIH/sources/PIH/concepts/20427/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20427/","/orgs/WHO/sources/ICD-10-WHO/concepts/F16.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20428,,"Depression without hallucinogens","FULLY_SPECIFIED",,"Dépression sans hallucinogène","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20428/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20428/","/orgs/PIH/sources/PIH/concepts/20428/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20428/","/orgs/WHO/sources/ICD-10-WHO/concepts/F16.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20429,,"Mild depression due to phencyclidine","FULLY_SPECIFIED",,"Dépression légère due à la phencyclidine","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20429/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20429/","/orgs/PIH/sources/PIH/concepts/20429/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20429/","/orgs/WHO/sources/ICD-10-WHO/concepts/F16.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20430,,"Moderate/severe depression due to phencyclidine","FULLY_SPECIFIED",,"Dépression modérée/sévère due à la phencyclidine","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20430/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20430/","/orgs/PIH/sources/PIH/concepts/20430/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20430/","/orgs/WHO/sources/ICD-10-WHO/concepts/F16.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20431,,"Depression without phencyclidine","FULLY_SPECIFIED",,"Dépression sans phencyclidine","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20431/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20431/","/orgs/PIH/sources/PIH/concepts/20431/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20431/","/orgs/WHO/sources/ICD-10-WHO/concepts/F16.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20432,,"Mild depression due to antidepressant or antianxiety drugs","FULLY_SPECIFIED",,"Dépression légère due à la prise d'antidépresseurs ou d'anxiolytiques","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20432/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20432/","/orgs/PIH/sources/PIH/concepts/20432/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20432/","/orgs/WHO/sources/ICD-10-WHO/concepts/F13.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20433,,"Moderate/severe depression due to antidepressants or antianxiety drugs","FULLY_SPECIFIED",,"Dépression modérée/sévère due à la prise d'antidépresseurs ou d'anxiolytiques","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20433/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20433/","/orgs/PIH/sources/PIH/concepts/20433/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20433/","/orgs/WHO/sources/ICD-10-WHO/concepts/F13.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20434,,"Depression without antidepressants or antianxiety drugs","FULLY_SPECIFIED",,"Dépression sans à la prise d'antidépresseurs ou d'anxiolytiques","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20434/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20434/","/orgs/PIH/sources/PIH/concepts/20434/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20434/","/orgs/WHO/sources/ICD-10-WHO/concepts/F13.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20435,,"Mild depression due to other substance","FULLY_SPECIFIED",,"Dépression légère due à une autre substance","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20391/","/orgs/PIH/sources/PIH/concepts/20435/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20435/","/orgs/PIH/sources/PIH/concepts/20435/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20435/","/orgs/WHO/sources/ICD-10-WHO/concepts/F19.8/","NARROWER-THAN"
