"resource_type","owner_id","source","collection","id","external_id","name","name_type","name_external_id","name[fr]","name_type[fr]","name_locale[fr]","name_locale_preferred[fr]","name_external_id[fr]","concept_class","datatype","map_from_concept_url[ans]","map_to_concept_url[ans]","map_type[ans]","map_from_concept_url[PIH]","map_to_concept_url[PIH]","map_type[PIH]"
"Concept","PIH","PIH",,20549,,"Schizophrenia spectrum and other psychotic disorder (coded)","FULLY_SPECIFIED",,"Spectre de la schizophrénie et autres troubles psychotiques (coded)","FULLY_SPECIFIED","fr","True",,"Question","Coded","/orgs/PIH/sources/PIH/concepts/20548/","/orgs/PIH/sources/PIH/concepts/20549/","Q-AND-A","/orgs/PIH/sources/PIH/concepts/20549/","/orgs/PIH/sources/PIH/concepts/20549/","SAME-AS"
"Concept","PIH","PIH",,20550,,"Bipolar and related disorder (coded)","FULLY_SPECIFIED",,"Troubles bipolaires et apparentés (coded)","FULLY_SPECIFIED","fr","True",,"Question","Coded","/orgs/PIH/sources/PIH/concepts/20548/","/orgs/PIH/sources/PIH/concepts/20550/","Q-AND-A","/orgs/PIH/sources/PIH/concepts/20550/","/orgs/PIH/sources/PIH/concepts/20550/","SAME-AS"
"Concept","PIH","PIH",,20551,,"Depressive disorder (coded)","FULLY_SPECIFIED",,"Troubles dépressifs (coded)","FULLY_SPECIFIED","fr","True",,"Question","Coded","/orgs/PIH/sources/PIH/concepts/20548/","/orgs/PIH/sources/PIH/concepts/20551/","Q-AND-A","/orgs/PIH/sources/PIH/concepts/20551/","/orgs/PIH/sources/PIH/concepts/20551/","SAME-AS"
"Concept","PIH","PIH",,20552,,"Anxiety disorder (coded)","FULLY_SPECIFIED",,"Troubles anxieux (coded)","FULLY_SPECIFIED","fr","True",,"Question","Coded","/orgs/PIH/sources/PIH/concepts/20548/","/orgs/PIH/sources/PIH/concepts/20552/","Q-AND-A","/orgs/PIH/sources/PIH/concepts/20552/","/orgs/PIH/sources/PIH/concepts/20552/","SAME-AS"
"Concept","PIH","PIH",,20553,,"Obsessive-compulsive and related disorder (coded)","FULLY_SPECIFIED",,"Troubles obsessionnels-compulsifs et apparentés (coded)","FULLY_SPECIFIED","fr","True",,"Question","Coded","/orgs/PIH/sources/PIH/concepts/20548/","/orgs/PIH/sources/PIH/concepts/20553/","Q-AND-A","/orgs/PIH/sources/PIH/concepts/20553/","/orgs/PIH/sources/PIH/concepts/20553/","SAME-AS"
"Concept","PIH","PIH",,20554,,"Disorders related to trauma or stress factor (coded)","FULLY_SPECIFIED",,"Troubles liés à des traumatismes ou à des facteurs de stress (coded)","FULLY_SPECIFIED","fr","True",,"Question","Coded","/orgs/PIH/sources/PIH/concepts/20548/","/orgs/PIH/sources/PIH/concepts/20554/","Q-AND-A","/orgs/PIH/sources/PIH/concepts/20554/","/orgs/PIH/sources/PIH/concepts/20554/","SAME-AS"
"Concept","PIH","PIH",,20555,,"Dissociative disorder (coded)","FULLY_SPECIFIED",,"Troubles dissociatifs (coded)","FULLY_SPECIFIED","fr","True",,"Question","Coded","/orgs/PIH/sources/PIH/concepts/20548/","/orgs/PIH/sources/PIH/concepts/20555/","Q-AND-A","/orgs/PIH/sources/PIH/concepts/20555/","/orgs/PIH/sources/PIH/concepts/20555/","SAME-AS"
"Concept","PIH","PIH",,20556,,"Somatic symptom and related disorder (coded)","FULLY_SPECIFIED",,"Troubles à symptomatologie somatique et apparentés (coded)","FULLY_SPECIFIED","fr","True",,"Question","Coded","/orgs/PIH/sources/PIH/concepts/20548/","/orgs/PIH/sources/PIH/concepts/20556/","Q-AND-A","/orgs/PIH/sources/PIH/concepts/20556/","/orgs/PIH/sources/PIH/concepts/20556/","SAME-AS"
"Concept","PIH","PIH",,20557,,"Eating disorder (coded)","FULLY_SPECIFIED",,"Troubles des conduites alimentaires et de l'indigestion d'aliments (coded)","FULLY_SPECIFIED","fr","True",,"Question","Coded","/orgs/PIH/sources/PIH/concepts/20548/","/orgs/PIH/sources/PIH/concepts/20557/","Q-AND-A","/orgs/PIH/sources/PIH/concepts/20557/","/orgs/PIH/sources/PIH/concepts/20557/","SAME-AS"
"Concept","PIH","PIH",,20558,,"Elimination disorder (coded)","FULLY_SPECIFIED",,"Troubles de contrôle sphinctérien (coded)","FULLY_SPECIFIED","fr","True",,"Question","Coded","/orgs/PIH/sources/PIH/concepts/20548/","/orgs/PIH/sources/PIH/concepts/20558/","Q-AND-A","/orgs/PIH/sources/PIH/concepts/20558/","/orgs/PIH/sources/PIH/concepts/20558/","SAME-AS"
