resource_type,owner_id,source,collection,id,external_id,name,name_type,name_external_id,name[fr],name_type[fr],name_locale[fr],name_locale_preferred[fr],name_external_id[fr],concept_class,datatype,map_from_concept_url[set],map_to_concept_url[set],map_type[set],map_from_concept_url[PIH],map_to_concept_url[PIH],map_type[PIH]
Concept,PIH,PIH,,20216,,Schizophrenia spectrum and other psychotic disorders,FULLY_SPECIFIED,,Spectre de la schizophrénie et autres troubles psychotiques,FULLY_SPECIFIED,fr,True,,ConvSet,None,/orgs/PIH/sources/PIH/concepts/20215/,/orgs/PIH/sources/PIH/concepts/20216/,CONCEPT-SET,/orgs/PIH/sources/PIH/concepts/20216/,/orgs/PIH/sources/PIH/concepts/20216/,SAME-AS
Concept,PIH,PIH,,20217,,Bipolar and related disorders,FULLY_SPECIFIED,,Troubles bipolaires et apparentés,FULLY_SPECIFIED,fr,True,,ConvSet,None,/orgs/PIH/sources/PIH/concepts/20215/,/orgs/PIH/sources/PIH/concepts/20217/,CONCEPT-SET,/orgs/PIH/sources/PIH/concepts/20217/,/orgs/PIH/sources/PIH/concepts/20217/,SAME-AS
Concept,PIH,PIH,,20218,,Depressive disorders,FULLY_SPECIFIED,,Troubles dépressifs,FULLY_SPECIFIED,fr,True,,ConvSet,None,/orgs/PIH/sources/PIH/concepts/20215/,/orgs/PIH/sources/PIH/concepts/20218/,CONCEPT-SET,/orgs/PIH/sources/PIH/concepts/20218/,/orgs/PIH/sources/PIH/concepts/20218/,SAME-AS
Concept,PIH,PIH,,20219,,Anxiety disorders,FULLY_SPECIFIED,,Troubles anxieux,FULLY_SPECIFIED,fr,True,,ConvSet,None,/orgs/PIH/sources/PIH/concepts/20215/,/orgs/PIH/sources/PIH/concepts/20219/,CONCEPT-SET,/orgs/PIH/sources/PIH/concepts/20219/,/orgs/PIH/sources/PIH/concepts/20219/,SAME-AS
Concept,PIH,PIH,,20220,,Obsessive-compulsive and related disorders,FULLY_SPECIFIED,,Troubles obsessionnels-compulsifs et apparentés,FULLY_SPECIFIED,fr,True,,ConvSet,None,/orgs/PIH/sources/PIH/concepts/20215/,/orgs/PIH/sources/PIH/concepts/20220/,CONCEPT-SET,/orgs/PIH/sources/PIH/concepts/20220/,/orgs/PIH/sources/PIH/concepts/20220/,SAME-AS
Concept,PIH,PIH,,20221,,Disorders related to trauma or stress factors,FULLY_SPECIFIED,,Troubles liés à des traumatismes ou à des facteurs de stress,FULLY_SPECIFIED,fr,True,,ConvSet,None,/orgs/PIH/sources/PIH/concepts/20215/,/orgs/PIH/sources/PIH/concepts/20221/,CONCEPT-SET,/orgs/PIH/sources/PIH/concepts/20221/,/orgs/PIH/sources/PIH/concepts/20221/,SAME-AS
Concept,PIH,PIH,,20222,,Dissociative disorders,FULLY_SPECIFIED,,Troubles dissociatifs,FULLY_SPECIFIED,fr,True,,ConvSet,None,/orgs/PIH/sources/PIH/concepts/20215/,/orgs/PIH/sources/PIH/concepts/20222/,CONCEPT-SET,/orgs/PIH/sources/PIH/concepts/20222/,/orgs/PIH/sources/PIH/concepts/20222/,SAME-AS
Concept,PIH,PIH,,20223,,Somatic symptom and related disorders (SSDs),FULLY_SPECIFIED,,Troubles à symptomatologie somatique et apparentés,FULLY_SPECIFIED,fr,True,,ConvSet,None,/orgs/PIH/sources/PIH/concepts/20215/,/orgs/PIH/sources/PIH/concepts/20223/,CONCEPT-SET,/orgs/PIH/sources/PIH/concepts/20223/,/orgs/PIH/sources/PIH/concepts/20223/,SAME-AS
Concept,PIH,PIH,,20224,,Eating disorders,FULLY_SPECIFIED,,Troubles des conduites alimentaires et de l'indigestion d'aliments,FULLY_SPECIFIED,fr,True,,ConvSet,None,/orgs/PIH/sources/PIH/concepts/20215/,/orgs/PIH/sources/PIH/concepts/20224/,CONCEPT-SET,/orgs/PIH/sources/PIH/concepts/20224/,/orgs/PIH/sources/PIH/concepts/20224/,SAME-AS
Concept,PIH,PIH,,20225,,Elimination disorders,FULLY_SPECIFIED,,Troubles de contrôle sphinctérien,FULLY_SPECIFIED,fr,True,,ConvSet,None,/orgs/PIH/sources/PIH/concepts/20215/,/orgs/PIH/sources/PIH/concepts/20225/,CONCEPT-SET,/orgs/PIH/sources/PIH/concepts/20225/,/orgs/PIH/sources/PIH/concepts/20225/,SAME-AS
