"resource_type","owner_id","source","collection","id","external_id","name","name_type","name_external_id","name[fr]","name_type[fr]","name_locale[fr]","name_locale_preferred[fr]","name_external_id[fr]","concept_class","datatype","map_from_concept_url[set]","map_to_concept_url[set]","map_type[set]","map_from_concept_url[PIH]","map_to_concept_url[PIH]","map_type[PIH]","map_from_concept_url[ICD-10]","map_to_concept_url[ICD-10]","map_type[ICD-10]"
"Concept","PIH","PIH",,20447,,"Major Neurocognitive Disorder without behavior changes caused by Huntington's disease","FULLY_SPECIFIED",,"Trouble neurocognitif majeur sans modifications du comportement causé par la maladie de Huntington","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20231/","/orgs/PIH/sources/PIH/concepts/20447/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20447/","/orgs/PIH/sources/PIH/concepts/20447/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20447/","/orgs/WHO/sources/ICD-10-WHO/concepts/F06.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20448,,"Major Neurocognitive Disorder with behavior changes caused by Huntington's disease","FULLY_SPECIFIED",,"Trouble neurocognitif majeur avec modifications du comportement causé par la maladie de Huntington","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20231/","/orgs/PIH/sources/PIH/concepts/20448/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20448/","/orgs/PIH/sources/PIH/concepts/20448/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20448/","/orgs/WHO/sources/ICD-10-WHO/concepts/F06.8/","NARROWER-THAN"
"Concept","PIH","PIH",,20449,,"Major Neurocognitive Disorder without behavior changes caused by traumatic brain injury","FULLY_SPECIFIED",,"Trouble neurocognitif majeur sans modifications du comportement causé par un traumatisme crânien","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20231/","/orgs/PIH/sources/PIH/concepts/20449/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20449/","/orgs/PIH/sources/PIH/concepts/20449/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20449/","/orgs/WHO/sources/ICD-10-WHO/concepts/S06.9/","NARROWER-THAN"
"Concept","PIH","PIH",,20450,,"Major Neurocognitive Disorder with behavior changes caused by traumatic brain injury ","FULLY_SPECIFIED",,"Trouble neurocognitif majeur avec modifications du comportement causé par un traumatisme crânien","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20231/","/orgs/PIH/sources/PIH/concepts/20450/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20450/","/orgs/PIH/sources/PIH/concepts/20450/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20450/","/orgs/WHO/sources/ICD-10-WHO/concepts/S06.9/","NARROWER-THAN"
"Concept","PIH","PIH",,7946,,,,,,,,,,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20231/","/orgs/PIH/sources/PIH/concepts/7946/","CONCEPT-SET",,,,,,
"Concept","PIH","PIH",,20445,,,,,,,,,,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20231/","/orgs/PIH/sources/PIH/concepts/20445/","CONCEPT-SET",,,,,,
"Concept","PIH","PIH",,20446,,,,,,,,,,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20231/","/orgs/PIH/sources/PIH/concepts/20446/","CONCEPT-SET",,,,,,
"Concept","PIH","PIH",,5136,,,,,,,,,,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20231/","/orgs/PIH/sources/PIH/concepts/5136/","CONCEPT-SET",,,,,,
"Concept","PIH","PIH",,155,,,,,,,,,,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20231/","/orgs/PIH/sources/PIH/concepts/155/","CONCEPT-SET",,,,,,
"Concept","PIH","PIH",,20444,,,,,,,,,,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20231/","/orgs/PIH/sources/PIH/concepts/20444/","CONCEPT-SET",,,,,,
