resource_type,owner_id,source,collection,id,external_id,name,name_type,name_external_id,concept_class,datatype,map_from_concept_url[set],map_to_concept_url[set],map_type[set],map_from_concept_url[PIH],map_to_concept_url[PIH],map_type[PIH]
Concept,PIH,PIH,,8600,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/8600/,CONCEPT-SET,,,
Concept,PIH,PIH,,14838,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/14838/,CONCEPT-SET,,,
Concept,PIH,PIH,,20959,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/20959/,CONCEPT-SET,,,
Concept,PIH,PIH,,20960,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/20960/,CONCEPT-SET,,,
Concept,PIH,PIH,,20961,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/20961/,CONCEPT-SET,,,
Concept,PIH,PIH,,20962,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/20962/,CONCEPT-SET,,,
Concept,PIH,PIH,,20963,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/20963/,CONCEPT-SET,,,
Concept,PIH,PIH,,20964,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/20964/,CONCEPT-SET,,,
Concept,PIH,PIH,,20970,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/20970/,CONCEPT-SET,,,
Concept,PIH,PIH,,10616,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/10616/,CONCEPT-SET,,,
Concept,PIH,PIH,,20966,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/20966/,CONCEPT-SET,,,
Concept,PIH,PIH,,20967,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/20967/,CONCEPT-SET,,,
Concept,PIH,PIH,,20968,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/20968/,CONCEPT-SET,,,
