"resource_type","owner_id","source","collection","id","external_id","name","name_type","name_external_id","name[fr]","name_type[fr]","name_locale[fr]","name_locale_preferred[fr]","name_external_id[fr]","concept_class","datatype","map_from_concept_url[set]","map_to_concept_url[set]","map_type[set]","map_from_concept_url[PIH]","map_to_concept_url[PIH]","map_type[PIH]"
"Concept","PIH","PIH",,20471,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20232/","/orgs/PIH/sources/PIH/concepts/20471/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20472,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20232/","/orgs/PIH/sources/PIH/concepts/20472/","CONCEPT-SET",,,
"Concept","PIH","PIH",,9510,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20232/","/orgs/PIH/sources/PIH/concepts/9510/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20188,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20232/","/orgs/PIH/sources/PIH/concepts/20188/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20341,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20232/","/orgs/PIH/sources/PIH/concepts/20341/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20477,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20232/","/orgs/PIH/sources/PIH/concepts/20477/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20475,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20232/","/orgs/PIH/sources/PIH/concepts/20475/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20476,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20232/","/orgs/PIH/sources/PIH/concepts/20476/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20473,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20232/","/orgs/PIH/sources/PIH/concepts/20473/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20470,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20232/","/orgs/PIH/sources/PIH/concepts/20470/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20474,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20232/","/orgs/PIH/sources/PIH/concepts/20474/","CONCEPT-SET",,,
"Concept","PIH","PIH",,20469,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20232/","/orgs/PIH/sources/PIH/concepts/20469/","CONCEPT-SET",,,
"Concept","PIH","PIH",,7943,,,,,,,,,,,,"/orgs/PIH/sources/PIH/concepts/20232/","/orgs/PIH/sources/PIH/concepts/7943/","CONCEPT-SET",,,
