"resource_type","owner_id","source","collection","id","external_id","name","name_type","name_external_id","name[fr]","name_type[fr]","name_locale[fr]","name_locale_preferred[fr]","name_external_id[fr]","concept_class","datatype","map_from_concept_url[set]","map_to_concept_url[set]","map_type[set]","map_from_concept_url[PIH]","map_to_concept_url[PIH]","map_type[PIH]"
"Concept","PIH","PIH",,20366,,Psychosis caused by cannabis with mild disorder of cannabis use,"FULLY_SPECIFIED",,Psychose due au cannabis avec trouble légèr de l'usage du cannabis,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20366/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20366/","/orgs/PIH/sources/PIH/concepts/20366/","SAME-AS"
"Concept","PIH","PIH",,20367,,Psychosis caused by cannabis with moderate or severe disorder of cannabis use,"FULLY_SPECIFIED",,Psychose due au cannabis avec trouble moyen ou grave de l'usage du cannabis,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20367/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20367/","/orgs/PIH/sources/PIH/concepts/20367/","SAME-AS"
"Concept","PIH","PIH",,20368,,Psychotic disorder caused by cannabis but without current cannabis use,"FULLY_SPECIFIED",,Psychose due au cannabis sans trouble de l'usage du cannabis,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20368/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20368/","/orgs/PIH/sources/PIH/concepts/20368/","SAME-AS"
"Concept","PIH","PIH",,20369,,Psychosis caused by cocaine with mild disorder of cocaine use,"FULLY_SPECIFIED",,Psychose due à la cocaïne avec trouble léger de l'usage de la cocaïne,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20369/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20369/","/orgs/PIH/sources/PIH/concepts/20369/","SAME-AS"
"Concept","PIH","PIH",,20370,,Psychosis caused by cocaine with moderate or severe disorder of cocaine use,"FULLY_SPECIFIED",,Psychose due à la cocaïne avec trouble moyen ou grave de l'usage de la cocaïne,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20370/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20370/","/orgs/PIH/sources/PIH/concepts/20370/","SAME-AS"
"Concept","PIH","PIH",,20371,,Psychotic disorder caused by cocaine but without current cocaine use,"FULLY_SPECIFIED",,Psychose due à la cocaïne sans trouble de l'usage de la cocaïne,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20371/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20371/","/orgs/PIH/sources/PIH/concepts/20371/","SAME-AS"
"Concept","PIH","PIH",,20372,,Psychosis caused by hallucinogen with mild disorder of hallucinogen use,"FULLY_SPECIFIED",,Psychose due à un hallucinogène avec trouble léger de l'usage d'hallucinogènes,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20372/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20372/","/orgs/PIH/sources/PIH/concepts/20372/","SAME-AS"
"Concept","PIH","PIH",,20373,,Psychosis caused by hallucinogen with moderate or severe disorder of hallucinogen use,"FULLY_SPECIFIED",,Psychose due à un hallucinogène avec trouble modéré ou grave de l'usage d'hallucinogènes,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20373/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20373/","/orgs/PIH/sources/PIH/concepts/20373/","SAME-AS"
"Concept","PIH","PIH",,20374,,Psychotic disorder caused by hallucinogen but without current hallucinogen use,"FULLY_SPECIFIED",,Psychose due à un hallucinogène sans trouble de l'usage d'hallucinogènes,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20374/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20374/","/orgs/PIH/sources/PIH/concepts/20374/","SAME-AS"
"Concept","PIH","PIH",,20375,,Psychosis caused by phencyclidine with mild disorder of phencyclidine use,"FULLY_SPECIFIED",,Psychose due à la phencyclidine avec trouble léger de l'usage de la phencyclidine,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20375/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20375/","/orgs/PIH/sources/PIH/concepts/20375/","SAME-AS"
"Concept","PIH","PIH",,20376,,Psychosis caused by phencyclidine with moderate or severe disorder of phencyclidine use,"FULLY_SPECIFIED",,Psychose due à la phencyclidine avec trouble moyen ou grave de l'usage de la phencyclidine,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20376/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20376/","/orgs/PIH/sources/PIH/concepts/20376/","SAME-AS"
"Concept","PIH","PIH",,20377,,Psychosis caused by phencyclidine but without current phencyclidine use,"FULLY_SPECIFIED",,Psychose due à la phencyclidine sans trouble de l'usage de la phencyclidine,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20377/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20377/","/orgs/PIH/sources/PIH/concepts/20377/","SAME-AS"
"Concept","PIH","PIH",,20378,,Psychosis caused by antidepressant or antianxiety drugs with mild disorder of antidepressant or antianxiety drug use,"FULLY_SPECIFIED",,Psychose due à la prise d'antidépresseurs ou d'anxiolytiques avec trouble léger de la prise d'antidépresseurs ou d'anxiolytiques,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20378/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20378/","/orgs/PIH/sources/PIH/concepts/20378/","SAME-AS"
"Concept","PIH","PIH",,20379,,Psychosis caused by antidepressant or antianxiety drugs with moderate or severe disorder of antidepressant or antianxiety drug use,"FULLY_SPECIFIED",,Psychose due à la prise d'antidépresseurs ou d'anxiolytiques avec trouble moyen ou grave de la prise d'antidépresseurs ou d'anxiolytiques,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20379/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20379/","/orgs/PIH/sources/PIH/concepts/20379/","SAME-AS"
"Concept","PIH","PIH",,20380,,Psychosis caused by antidepressant or antianxiety drugs but without current antidepressant or antianxiety drug use,"FULLY_SPECIFIED",,Psychose due à la prise d'antidépresseurs ou d'anxiolytiques sans trouble de la prise d'antidépresseurs ou d'anxiolytiques,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20380/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20380/","/orgs/PIH/sources/PIH/concepts/20380/","SAME-AS"
"Concept","PIH","PIH",,20381,,Psychosis caused by other substance with mild disorder of other substance use,"FULLY_SPECIFIED",,Psychose due à une substance autre avec trouble léger de l'usage d'une substance autre,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20381/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20381/","/orgs/PIH/sources/PIH/concepts/20381/","SAME-AS"
"Concept","PIH","PIH",,20382,,Psychosis caused by other substance with moderate or severe disorder of other substance use,"FULLY_SPECIFIED",,Psychose due à une substance autre avec trouble moyen ou grave de l'usage d'une substance autre,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20382/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20382/","/orgs/PIH/sources/PIH/concepts/20382/","SAME-AS"
"Concept","PIH","PIH",,20383,,Psychosis caused by other substance but without current other substance use,"FULLY_SPECIFIED",,Psychose due à une substance autre sans trouble de l'usage d'une substance autre,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20383/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20383/","/orgs/PIH/sources/PIH/concepts/20383/","SAME-AS"
"Concept","PIH","PIH",,20384,,Psychosis caused by inhalant with mild disorder of inhalant use,"FULLY_SPECIFIED",,Psychose due à l'inhalation avec trouble léger de l'usage de l'inhalation,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20384/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20384/","/orgs/PIH/sources/PIH/concepts/20384/","SAME-AS"
"Concept","PIH","PIH",,20385,,Psychosis caused by inhalant with moderate or severe disorder of inhalant use,"FULLY_SPECIFIED",,Psychose due à l'inhalation avec trouble moyen ou grave de l'usage de l'inhalation,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20385/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20385/","/orgs/PIH/sources/PIH/concepts/20385/","SAME-AS"
"Concept","PIH","PIH",,20386,,Psychosis caused by inhalant but without current inhalant use,"FULLY_SPECIFIED",,Psychose due à l'inhalation sans trouble de l'usage de l'inhalation,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20386/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20386/","/orgs/PIH/sources/PIH/concepts/20386/","SAME-AS"
"Concept","PIH","PIH",,20387,,Psychosis caused by alcohol with mild disorder of alcohol use,"FULLY_SPECIFIED",,Psychose due à l'alcool avec trouble léger de la consommation d'alcool,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20387/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20387/","/orgs/PIH/sources/PIH/concepts/20387/","SAME-AS"
"Concept","PIH","PIH",,20388,,Psychosis caused by alcohol with moderate or severe disorder of alcohol use,"FULLY_SPECIFIED",,Psychose due à l'alcool avec trouble moyen ou grave de la consommation d'alcool,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20388/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20388/","/orgs/PIH/sources/PIH/concepts/20388/","SAME-AS"
"Concept","PIH","PIH",,20389,,Psychotic disorder caused by alcohol but without current alcohol use,"FULLY_SPECIFIED",,Psychose due à l'alcool sans trouble de l'usage de l'alcool,"FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20389/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20389/","/orgs/PIH/sources/PIH/concepts/20389/","SAME-AS"
