"resource_type","owner_id","source","collection","id","external_id","name","name_type","name_external_id","name[fr]","name_type[fr]","name_locale[fr]","name_locale_preferred[fr]","name_external_id[fr]","concept_class","datatype","map_from_concept_url[set]","map_to_concept_url[set]","map_type[set]","map_from_concept_url[PIH]","map_to_concept_url[PIH]","map_type[PIH]"
"Concept","PIH","PIH",,20366,,"Mild psychosis due to cannabis","FULLY_SPECIFIED",,"Psychose légère due au cannabis","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20366/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20366/","/orgs/PIH/sources/PIH/concepts/20366/","SAME-AS"
"Concept","PIH","PIH",,20367,,"Moderate or severe psychosis due to cannabis","FULLY_SPECIFIED",,"Psychose modérée/sévère due au cannabis","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20367/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20367/","/orgs/PIH/sources/PIH/concepts/20367/","SAME-AS"
"Concept","PIH","PIH",,20368,,"Psychosis without cannabis","FULLY_SPECIFIED",,"Psychose sans cannabis","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20368/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20368/","/orgs/PIH/sources/PIH/concepts/20368/","SAME-AS"
"Concept","PIH","PIH",,20369,,"Mild psychosis due to cocaine","FULLY_SPECIFIED",,"Psychose légère due à la cocaïne","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20369/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20369/","/orgs/PIH/sources/PIH/concepts/20369/","SAME-AS"
"Concept","PIH","PIH",,20370,,"Moderate/severe psychosis due to cocaine","FULLY_SPECIFIED",,"Psychose modérée/sévère due à la cocaïne","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20370/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20370/","/orgs/PIH/sources/PIH/concepts/20370/","SAME-AS"
"Concept","PIH","PIH",,20371,,"Psychosis without cocaine","FULLY_SPECIFIED",,"Psychose sans cocaïne","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20371/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20371/","/orgs/PIH/sources/PIH/concepts/20371/","SAME-AS"
"Concept","PIH","PIH",,20372,,"Mild psychosis due to hallucinogen","FULLY_SPECIFIED",,"Psychose légère due à un hallucinogène","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20372/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20372/","/orgs/PIH/sources/PIH/concepts/20372/","SAME-AS"
"Concept","PIH","PIH",,20373,,"Moderate/severe psychosis due to hallucinogen","FULLY_SPECIFIED",,"Psychose modérée/sévère due à un hallucinogène","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20373/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20373/","/orgs/PIH/sources/PIH/concepts/20373/","SAME-AS"
"Concept","PIH","PIH",,20374,,"Psychosis without hallucinogens","FULLY_SPECIFIED",,"Psychose sans hallucinogène","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20374/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20374/","/orgs/PIH/sources/PIH/concepts/20374/","SAME-AS"
"Concept","PIH","PIH",,20375,,"Mild psychosis due to phencyclidine","FULLY_SPECIFIED",,"Psychose légère due à la phencyclidine","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20375/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20375/","/orgs/PIH/sources/PIH/concepts/20375/","SAME-AS"
"Concept","PIH","PIH",,20376,,"Moderate/severe psychosis due to phencyclidine","FULLY_SPECIFIED",,"Psychose modérée/sévère due à la phencyclidine","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20376/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20376/","/orgs/PIH/sources/PIH/concepts/20376/","SAME-AS"
"Concept","PIH","PIH",,20377,,"Psychosis without phencyclidine","FULLY_SPECIFIED",,"Psychose sans phencyclidine","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20377/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20377/","/orgs/PIH/sources/PIH/concepts/20377/","SAME-AS"
"Concept","PIH","PIH",,20378,,"Mild psychosis due to antidepressant or antianxiety drugs","FULLY_SPECIFIED",,"Psychose légère due à la prise d'antidépresseurs ou d'anxiolytiques","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20378/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20378/","/orgs/PIH/sources/PIH/concepts/20378/","SAME-AS"
"Concept","PIH","PIH",,20379,,"Moderate/severe psychosis due to antidepressants or antianxiety drugs","FULLY_SPECIFIED",,"Psychose modérée/sévère due à la prise d'antidépresseurs ou d'anxiolytiques","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20379/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20379/","/orgs/PIH/sources/PIH/concepts/20379/","SAME-AS"
"Concept","PIH","PIH",,20380,,"Psychosis without antidepressants or antianxiety drugs","FULLY_SPECIFIED",,"Psychose sans à la prise d'antidépresseurs ou d'anxiolytiques","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20380/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20380/","/orgs/PIH/sources/PIH/concepts/20380/","SAME-AS"
"Concept","PIH","PIH",,20381,,"Mild psychosis due to other substance","FULLY_SPECIFIED",,"Psychose légère due à une autre substance","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20381/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20381/","/orgs/PIH/sources/PIH/concepts/20381/","SAME-AS"
"Concept","PIH","PIH",,20382,,"Moderate/severe psychosis due to other substance","FULLY_SPECIFIED",,"Psychose modérée/sévère due à une autre substance","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20382/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20382/","/orgs/PIH/sources/PIH/concepts/20382/","SAME-AS"
"Concept","PIH","PIH",,20383,,"Psychosis without other substance","FULLY_SPECIFIED",,"Psychose sans autre substance","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20383/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20383/","/orgs/PIH/sources/PIH/concepts/20383/","SAME-AS"
"Concept","PIH","PIH",,20384,,"Mild psychosis due to inhalant","FULLY_SPECIFIED",,"Psychose légère due à l'inhalation","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20384/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20384/","/orgs/PIH/sources/PIH/concepts/20384/","SAME-AS"
"Concept","PIH","PIH",,20385,,"Moderate/severe psychosis due to inhalant","FULLY_SPECIFIED",,"Psychose modérée/sévère due à l'inhalation","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20385/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20385/","/orgs/PIH/sources/PIH/concepts/20385/","SAME-AS"
"Concept","PIH","PIH",,20386,,"Psychosis without inhalant","FULLY_SPECIFIED",,"Psychose sans inhalant","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20386/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20386/","/orgs/PIH/sources/PIH/concepts/20386/","SAME-AS"
"Concept","PIH","PIH",,20387,,"Mild psychosis due to alcohol","FULLY_SPECIFIED",,"Psychose légère due à l'alcool","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20387/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20387/","/orgs/PIH/sources/PIH/concepts/20387/","SAME-AS"
"Concept","PIH","PIH",,20388,,"Moderate/severe psychosis due to alcohol","FULLY_SPECIFIED",,"Psychose modérée/sévère due à l'alcool","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20388/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20388/","/orgs/PIH/sources/PIH/concepts/20388/","SAME-AS"
"Concept","PIH","PIH",,20389,,"Psychosis without alcohol","FULLY_SPECIFIED",,"Psychose sans alcool","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20365/","/orgs/PIH/sources/PIH/concepts/20389/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20389/","/orgs/PIH/sources/PIH/concepts/20389/","SAME-AS"
