resource_type,owner_id,source,collection,id,external_id,name,name_type,name_external_id,name[fr],name_type[fr],name_locale[fr],name_locale_preferred[fr],name_external_id[fr],concept_class,datatype,map_from_concept_url[set],map_to_concept_url[set],map_type[set],map_from_concept_url[PIH],map_to_concept_url[PIH],map_type[PIH]
Concept,PIH,PIH,,20188,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20216/,/orgs/PIH/sources/PIH/concepts/20188/,CONCEPT-SET,,,
Concept,PIH,PIH,,9510,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20216/,/orgs/PIH/sources/PIH/concepts/9510/,CONCEPT-SET,,,
Concept,PIH,PIH,,20189,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20216/,/orgs/PIH/sources/PIH/concepts/20189/,CONCEPT-SET,,,
Concept,PIH,PIH,,14522,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20216/,/orgs/PIH/sources/PIH/concepts/14522/,CONCEPT-SET,,,
Concept,PIH,PIH,,467,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20216/,/orgs/PIH/sources/PIH/concepts/467/,CONCEPT-SET,,,
Concept,PIH,PIH,,20190,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20216/,/orgs/PIH/sources/PIH/concepts/20190/,CONCEPT-SET,,,
Concept,PIH,PIH,,20191,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20216/,/orgs/PIH/sources/PIH/concepts/20191/,CONCEPT-SET,,,
Concept,PIH,PIH,,20192,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20216/,/orgs/PIH/sources/PIH/concepts/20192/,CONCEPT-SET,,,
Concept,PIH,PIH,,20193,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20216/,/orgs/PIH/sources/PIH/concepts/20193/,CONCEPT-SET,,,
Concept,PIH,PIH,,20194,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20216/,/orgs/PIH/sources/PIH/concepts/20194/,CONCEPT-SET,,,
Concept,PIH,PIH,,20195,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20216/,/orgs/PIH/sources/PIH/concepts/20195/,CONCEPT-SET,,,
Concept,PIH,PIH,,20196,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20216/,/orgs/PIH/sources/PIH/concepts/20196/,CONCEPT-SET,,,
Concept,PIH,PIH,,20197,,,,,,,,,,,,/orgs/PIH/sources/PIH/concepts/20216/,/orgs/PIH/sources/PIH/concepts/20197/,CONCEPT-SET,,,
