"resource_type","owner_id","source","collection","id","external_id","name","name_type","name_external_id","name[fr]","name_type[fr]","name_locale[fr]","name_locale_preferred[fr]","name_external_id[fr]","concept_class","datatype","map_from_concept_url[set]","map_to_concept_url[set]","map_type[set]","map_from_concept_url[PIH]","map_to_concept_url[PIH]","map_type[PIH]","map_from_concept_url[ICD-10]","map_to_concept_url[ICD-10]","map_type[ICD-10]"
"Concept","PIH","PIH",,20496,,"Mild alcohol use disorder","FULLY_SPECIFIED",,"Trouble léger lié à l'alcool","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20390/","/orgs/PIH/sources/PIH/concepts/20496/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20496/","/orgs/PIH/sources/PIH/concepts/20496/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20496/","/orgs/WHO/sources/ICD-10-WHO/concepts/F10.1/","NARROWER-THAN"
"Concept","PIH","PIH",,20497,,"Moderate alcohol use disorder","FULLY_SPECIFIED",,"Trouble modéré lié à l'alcool","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20390/","/orgs/PIH/sources/PIH/concepts/20497/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20497/","/orgs/PIH/sources/PIH/concepts/20497/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20497/","/orgs/WHO/sources/ICD-10-WHO/concepts/F10.2/","NARROWER-THAN"
"Concept","PIH","PIH",,20498,,"Severe alcohol use disorder","FULLY_SPECIFIED",,"Trouble severe lié à l'alcool","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20230/","/orgs/PIH/sources/PIH/concepts/20498/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20498/","/orgs/PIH/sources/PIH/concepts/20498/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20498/","/orgs/WHO/sources/ICD-10-WHO/concepts/F10.2/","NARROWER-THAN"
"Concept","PIH","PIH",,20499,,"Caffeine use disorder","FULLY_SPECIFIED",,"Troubles liés à la consommation de caféine","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20230/","/orgs/PIH/sources/PIH/concepts/20499/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20499/","/orgs/PIH/sources/PIH/concepts/20499/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20499/","/orgs/WHO/sources/ICD-10-WHO/concepts/F15.2/","NARROWER-THAN"
"Concept","PIH","PIH",,20500,,"Moderate cannabis use disorder","FULLY_SPECIFIED",,"Trouble modéré lié au cannabis","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20230/","/orgs/PIH/sources/PIH/concepts/20500/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20500/","/orgs/PIH/sources/PIH/concepts/20500/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20500/","/orgs/WHO/sources/ICD-10-WHO/concepts/F12.2/","NARROWER-THAN"
"Concept","PIH","PIH",,20501,,"Severe cannabis use disorder","FULLY_SPECIFIED",,"Trouble grave lié au cannabis","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20230/","/orgs/PIH/sources/PIH/concepts/20501/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20501/","/orgs/PIH/sources/PIH/concepts/20501/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20501/","/orgs/WHO/sources/ICD-10-WHO/concepts/F12.2/","NARROWER-THAN"
"Concept","PIH","PIH",,20502,,"Mild hallucinogen use disorder","FULLY_SPECIFIED",,"Trouble léger lié aux hallucinogènes","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20230/","/orgs/PIH/sources/PIH/concepts/20502/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20502/","/orgs/PIH/sources/PIH/concepts/20502/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20502/","/orgs/WHO/sources/ICD-10-WHO/concepts/F16.1/","NARROWER-THAN"
"Concept","PIH","PIH",,20503,,"Moderate hallucinogen use disorder","FULLY_SPECIFIED",,"Trouble modéré lié aux hallucinogènes","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20230/","/orgs/PIH/sources/PIH/concepts/20503/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20503/","/orgs/PIH/sources/PIH/concepts/20503/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20503/","/orgs/WHO/sources/ICD-10-WHO/concepts/F16.2/","NARROWER-THAN"
"Concept","PIH","PIH",,20504,,"Severe hallucinogen use disorder","FULLY_SPECIFIED",,"Trouble grave lié aux hallucinogènes","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20230/","/orgs/PIH/sources/PIH/concepts/20504/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20504/","/orgs/PIH/sources/PIH/concepts/20504/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20504/","/orgs/WHO/sources/ICD-10-WHO/concepts/F16.2/","NARROWER-THAN"
"Concept","PIH","PIH",,20505,,"Mild inhalant use disorder","FULLY_SPECIFIED",,"Trouble léger lié aux inhalants","FULLY_SPECIFIED","fr","True",,"Diagnosis","None","/orgs/PIH/sources/PIH/concepts/20230/","/orgs/PIH/sources/PIH/concepts/20505/","CONCEPT-SET","/orgs/PIH/sources/PIH/concepts/20505/","/orgs/PIH/sources/PIH/concepts/20505/","SAME-AS","/orgs/PIH/sources/PIH/concepts/20505/","/orgs/WHO/sources/ICD-10-WHO/concepts/F18.1/","NARROWER-THAN"
