resource_type,owner_id,source,collection,id,external_id,name,name_type,name_external_id,concept_class,datatype,map_from_concept_url[set],map_to_concept_url[set],map_type[set],map_from_concept_url[PIH],map_to_concept_url[PIH],map_type[PIH]
Concept,PIH,PIH,,21037,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/21037/,CONCEPT-SET,,,
Concept,PIH,PIH,,14960,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/14960/,CONCEPT-SET,,,
Concept,PIH,PIH,,9332,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/9332/,CONCEPT-SET,,,
Concept,PIH,PIH,,11782,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/11782/,CONCEPT-SET,,,
Concept,PIH,PIH,,21038,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/21038/,CONCEPT-SET,,,
Concept,PIH,PIH,,20444,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/20444/,CONCEPT-SET,,,
Concept,PIH,PIH,,21039,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/21039/,CONCEPT-SET,,,
Concept,PIH,PIH,,21048,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/21048/,CONCEPT-SET,,,
Concept,PIH,PIH,,21049,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/21049/,CONCEPT-SET,,,
Concept,PIH,PIH,,21040,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/21040/,CONCEPT-SET,,,
Concept,PIH,PIH,,21041,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/21041/,CONCEPT-SET,,,
Concept,PIH,PIH,,21042,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/21042/,CONCEPT-SET,,,
Concept,PIH,PIH,,21050,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/21050/,CONCEPT-SET,,,
Concept,PIH,PIH,,21043,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/21043/,CONCEPT-SET,,,
Concept,PIH,PIH,,21044,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/21044/,CONCEPT-SET,,,
Concept,PIH,PIH,,7316,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/7316/,CONCEPT-SET,,,
Concept,PIH,PIH,,13319,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/13319/,CONCEPT-SET,,,
Concept,PIH,PIH,,21020,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/21020/,CONCEPT-SET,,,
Concept,PIH,PIH,,21019,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/21019/,CONCEPT-SET,,,
Concept,PIH,PIH,,21018,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/21018/,CONCEPT-SET,,,
Concept,PIH,PIH,,10593,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/10593/,CONCEPT-SET,,,
Concept,PIH,PIH,,21016,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/21016/,CONCEPT-SET,,,
Concept,PIH,PIH,,21017,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/21017/,CONCEPT-SET,,,
Concept,PIH,PIH,,20895,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/20895/,CONCEPT-SET,,,
Concept,PIH,PIH,,21014,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/21014/,CONCEPT-SET,,,
Concept,PIH,PIH,,21013,,,,,,,/orgs/PIH/sources/PIH/concepts/20915/,/orgs/PIH/sources/PIH/concepts/21013/,CONCEPT-SET,,,
