resource_type,owner_id,source,collection,id,external_id,name,name_type,name_external_id,concept_class,datatype,map_from_concept_url[set],map_to_concept_url[set],map_type[set],map_from_concept_url[PIH],map_to_concept_url[PIH],map_type[PIH]
Concept,PIH,PIH,,20981,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/20981/,CONCEPT-SET,,,
Concept,PIH,PIH,,20982,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/20982/,CONCEPT-SET,,,
Concept,PIH,PIH,,20983,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/20983/,CONCEPT-SET,,,
Concept,PIH,PIH,,20984,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/20984/,CONCEPT-SET,,,
Concept,PIH,PIH,,20991,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/20991/,CONCEPT-SET,,,
Concept,PIH,PIH,,20992,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/20992/,CONCEPT-SET,,,
Concept,PIH,PIH,,20993,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/20993/,CONCEPT-SET,,,
Concept,PIH,PIH,,20994,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/20994/,CONCEPT-SET,,,
Concept,PIH,PIH,,20995,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/20995/,CONCEPT-SET,,,
Concept,PIH,PIH,,20996,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/20996/,CONCEPT-SET,,,
Concept,PIH,PIH,,20998,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/20998/,CONCEPT-SET,,,
Concept,PIH,PIH,,21000,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/21000/,CONCEPT-SET,,,
Concept,PIH,PIH,,21001,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/21001/,CONCEPT-SET,,,
Concept,PIH,PIH,,8607,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/8607/,CONCEPT-SET,,,
Concept,PIH,PIH,,8405,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/8405/,CONCEPT-SET,,,
Concept,PIH,PIH,,8343,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/8343/,CONCEPT-SET,,,
Concept,PIH,PIH,,8503,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/8503/,CONCEPT-SET,,,
Concept,PIH,PIH,,21001,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/21001/,CONCEPT-SET,,,
Concept,PIH,PIH,,21021,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/21021/,CONCEPT-SET,,,
Concept,PIH,PIH,,21047,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/21047/,CONCEPT-SET,,,
Concept,PIH,PIH,,21022,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/21022/,CONCEPT-SET,,,
Concept,PIH,PIH,,21025,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/21025/,CONCEPT-SET,,,
Concept,PIH,PIH,,9586,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/9586/,CONCEPT-SET,,,
Concept,PIH,PIH,,21026,,,,,,,/orgs/PIH/sources/PIH/concepts/9662/,/orgs/PIH/sources/PIH/concepts/21026/,CONCEPT-SET,,,
